id_term,adv_inc,adv_dec
Arunachali,1.239544278010726,1.3910333281382918
Assamese,1.8722942247986794,1.6859044870361686
Bengali,1.8189510181546211,1.5624883957207203
Bihari,1.4059053286910057,1.327555226162076
Chattisgarhi,1.6637291517108679,1.7602281011641026
Goan,0.8455284358933568,0.9603902194648981
Gujarati,1.6405203230679035,1.5344426538795233
Haryanvi,0.8911112844944,1.0902394074946642
Himachali,0.3963467497378588,0.6921228319406509
Jharkhandi,1.655543975532055,1.4451622907072306
Kannadiga,1.2165379635989666,1.180727462284267
Kashmiri,1.2992075700312853,1.2098763715475798
Madhya pradeshi,1.7571889190003276,1.8071667868644
Manipuri,1.2963573653250933,1.2014692351222038
Marathi,2.192830080166459,1.874856997281313
Meghalayan,1.6891632620245218,1.5339214000850916
Odiya,1.378597853705287,1.5560055114328861
Punjabi,1.8317696899175644,1.7155559584498405
Rajasthani,1.6854499336332083,1.588086461648345
Tamilian,1.0087524838745594,1.1174941398203373
Telugu,0.7412273846566677,0.5390330702066422
Tripuri,0.8363042529672384,0.8646725323051214
Uttar pradeshi,1.5347736710682511,1.6492222752422094
Uttarakhandi,1.5866068322211504,1.555826310068369
