id_term,adv_past,adv_present,adv_future
Arunachali,1.3495983965694904,1.1257741432636976,0.9812547154724598
Assamese,1.6028930209577084,1.7439509686082602,1.070162583142519
Bengali,1.6323637794703245,1.6305091548711061,1.0832266621291637
Bihari,1.4032245967537165,1.3442864455282688,1.007822036743164
Chattisgarhi,1.4834699258208275,1.3748703729361296,1.1190606039017439
Goan,0.9161670468747616,0.7147582545876503,0.47205395344644785
Gujarati,1.3753965571522713,1.684256580658257,1.1223462298512459
Haryanvi,0.9533286541700363,1.073263998143375,0.9227918544784188
Himachali,0.4159849062561989,0.5791536942124367,0.4676471948623657
Jharkhandi,1.457928555086255,1.3386196941137314,1.2116424646228552
Kannadiga,1.5004148911684752,0.8665745761245489,0.7652563322335482
Kashmiri,1.1910818740725517,1.2333216480910778,0.7715326696634293
Madhya pradeshi,1.6335194557905197,1.610509343445301,1.109390925616026
Manipuri,1.2194848638027906,1.096053121611476,1.1547086695209146
Marathi,1.934488594532013,2.1475395392626524,1.3961238916963339
Meghalayan,1.4055060362443328,1.4067403180524707,1.0773785216733813
Mizo,0.017659174278378487,,0.027001434937119484
Odiya,1.4903865084052086,1.1796512184664607,0.9745656112208962
Punjabi,1.6573882550001144,1.5619367454200983,1.0548103526234627
Rajasthani,1.4236478824168444,1.5005145128816366,1.1034905947744846
Tamilian,1.3300383258610964,0.773519478738308,0.517410147935152
Telugu,0.7305152732878923,0.7285361774265766,0.5528136044740677
Tripuri,0.8418633919209242,0.7048318814486265,0.60822868719697
Uttar pradeshi,1.5865859501063824,1.4335391074419022,0.9172218339517713
Uttarakhandi,1.3685951810330153,1.3921781349927187,1.0465171374380589
